NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea de Joc Infantil a la Plaça Pep Ventura,Pl Pep Ventura,5,Sarrià-Sant Gervasi,41.4140414466854,2.105032490742578
Àrea de Joc Infantil a la Plaça del Fénix,Pl Fènix,3,Sants-Montjuïc,41.370093063061,2.134641632659596
Àrea de Joc Infantil  Carretera del Prat - Amnistia Internacional,C Amnistia Internacional,3,Sants-Montjuïc,41.361809748252426,2.13629663596481
Àrea de Joc Infantil a l'Avinguda de Roma - Mallorca - Rocafort,Av Roma,2,Eixample,41.38352530480076,2.149579257116039
Àrea de Joc Infantil a la Plaça de l'Olivereta,Pl Olivereta,3,Sants-Montjuïc,41.37246836094022,2.129098408976396
Àrea de Joc Infantil a la Plaça de Josep Andreu i Abelló,Pl Josep Andreu i Abelló,9,Sant Andreu,41.448571863083366,2.1906054228934955
Parc d'Atraccions del Tibidabo,Plaça del Tibidabo,5,Sarrià-Sant Gervasi,41.42161843553102,2.118740285636823
Parc d'Atraccions del Tibidabo,Plaça del Tibidabo,5,Sarrià-Sant Gervasi,41.42161843553102,2.118740285636823
Àrea de Joc Infantil a Aragó - Enamorats - Dos de Maig,C Aragó,2,Eixample,41.40566478442445,2.1831879346598884
Àrea de Joc Infantil a Pontils - Tortosa,C Pontils,3,Sants-Montjuïc,41.3518461980206,2.141845499220655
Àrea de Joc Infantil,C Esteve Terradas,6,Gràcia,41.41374933906606,2.141259928946419
Àrea de Joc Infantil a Samaniego - Segur - Iriarte,C Iriarte,7,Horta-Guinardó,41.42207089881561,2.14181217003158
Àrea de Joc Infantil a Jericò - Passeig Vall d'Hebrón - Natzaret,C Natzaret,7,Horta-Guinardó,41.42126400841352,2.1400483834376423
Àrea de Joc Infantil a la Plaça Francesc Layret,Pl Francesc Layret,8,Nou Barris,41.441966341210566,2.177286270102494
Àrea de Joc Infantil a la Plaça del Diamant,C Astúries,6,Gràcia,41.40420032812036,2.155555422089296
Àrea de Joc Infantil a la Plaça John Lennon,C Ramis,6,Gràcia,41.40277658298084,2.161579267511207
Àrea de Joc Infantil a la Rambla del Carmel - Passatge Gabarnet,Ptge Gabarnet,7,Horta-Guinardó,41.423544508825536,2.1588430981734854
Àrea de Joc Infantil a l'Avinguda Estatut de Catalunya - Cardenal Vidal i Barraquer,Av Cardenal Vidal i Barraquer,7,Horta-Guinardó,41.43310914355063,2.1519668766667417
Àrea de Joc Infantil a la Plaça Manuel Corachan,Pl Manuel Corachan,5,Sarrià-Sant Gervasi,41.39429482172793,2.129153754744971
Àrea de Joc Infantil a Danubi - Travessera de les Corts,C Danubi,4,Les Corts,41.3765242524518,2.1187288744024326
Àrea de Joc Infantil a l'Avinguda Vallcarca - Baró la Barre,Av Vallcarca,6,Gràcia,41.417870032242085,2.141248043891382
Àrea de Joc Infantil a la Plaça Vall d'Hebron,Pg Vall d'Hebron,7,Horta-Guinardó,41.42230985722256,2.141347703090706
Àrea de Joc Infantil a la Plaça de Palestina,Pl Palestina,7,Horta-Guinardó,41.42484512244109,2.139140876338061
Àrea de Joc Infantil a Petrarca-Cartellà,C Cartellà,7,Horta-Guinardó,41.429946045315,2.1655363716083462
Àrea de Joc Infantil a la Plaça Ferran Casablancas,Pl Ferran Casablancas,5,Sarrià-Sant Gervasi,41.40099668673837,2.134167943005474
Àrea de Joc Infantil a la Plaça Cardona,C Laforja,5,Sarrià-Sant Gervasi,41.398305222765416,2.148533016239189
Àrea de Joc Infantil a la Plaça Guinardó,Pl Guinardó,7,Horta-Guinardó,41.42187293519572,2.1753157582442824
Àrea de Joc Infantil a la Plaça Cardenal Cicognani,Pl Cardenal Cicognani,9,Sant Andreu,41.42487357993622,2.1829013892921054
Àrea de Joc Infantil a la Plaça Marià Brossa,Pl Marià Brossa,9,Sant Andreu,41.43713240340117,2.1879114318402952
Àrea de Joc Infantil a l'Avinguda Josep Tarradellas - Plaça Francesc Macià - Avinguda Sarrià,Av Josep Tarradellas,2,Eixample,41.39212948869417,2.144569852370414
Àrea de Joc Infantil a l'Avinguda de Roma - Comte Borrell - Comte Urgell,Av Roma,2,Eixample,41.38499620035713,2.15420120559225
Àrea de Joc Infantil,C Manacor,5,Sarrià-Sant Gervasi,41.407464947326254,2.1430348062786257
Àrea de Joc Infantil,Pl de la República,8,Nou Barris,41.43800820884634,2.1745804629205017
Àrea de Joc Infantil a la Plaça Martí Llauradó,Pl Martí Llauradó,5,Sarrià-Sant Gervasi,41.39455694397396,2.131090685396474
Àrea de Joc Infantil a la Plaça Can Fabra,Sant Adrià,9,Sant Andreu,41.43451245917919,2.190888266174861
Àrea de Joc Infantil a l'Avinguda Vallcarca,Av Vallcarca,6,Gràcia,41.42008006400842,2.1405451722651634
Àrea de Joc Infantil a Nicaragua - Marquès Sentmenat,Nicaragua,4,Les Corts,41.38575348439209,2.1378142843992225
Àrea de Joc Infantil a la Plaça Manuel Torrente,C Alzina,6,Gràcia,41.40588769613677,2.1568910706561963
Àrea de Joc Infantil a la Plaça de la Font del Roure,Pl Font del Roure,7,Horta-Guinardó,41.42873415427124,2.1293466479787737
Àrea de Joc Infantil a la Plaça John F. Kennedy,Balmes,5,Sarrià-Sant Gervasi,41.410061848088986,2.1374805870009848
Àrea de Joc Infantil a la Plaça del Nord,Pl Nord,6,Gràcia,41.40676350650588,2.155498879146162
Àrea de Joc Infantil a la Plaça Joanic,Pl Joanic,6,Gràcia,41.40511169335056,2.162465617562773
Àrea de Joc Infantil a la Plaça Bacardí,Pl Bacardí,7,Horta-Guinardó,41.429666326526,2.1638784122922408
Àrea de Joc Infantil a  la Plaça Celestí Boada Salvador,Pl Celestí Boada Salvador,9,Sant Andreu,41.43917851850563,2.203485103592282
Àrea de Joc Infantil a la Plaça Sant Francesc Xavier,Pl Sant Francesc Xavier,8,Nou Barris,41.434893784629935,2.164125816023048
