register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿92086012392,Àrea de Joc Infantil a la Plaça de Llibertat Ródenas,,,1985-04-22T00:00:00+02:00,2021-05-04T12:34:24.463656+02:00,,,153205,Rbla Guipúscoa,135,,73,la Verneda i la Pau,10,Sant Martí,08020,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431790.4846099836,4583827.235127395,41.40309484033689,2.1839739994170673
﻿92086012399,Àrea de Joc Infantil Energía - F.Boix i Campo - Jane Addams - Foneria,,,1985-04-22T00:00:00+02:00,2021-05-04T12:34:26.723723+02:00,,,109906,C Energia,40,,13,la Marina de Port,03,Sants-Montjuïc,08038,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,427628.7730415679,4579181.021607912,41.36088435233433,2.134745469270965
﻿92086012403,Àrea de Joc Infantil a la Plaça del Mirall de Pedralbes,,,1985-04-22T00:00:00+02:00,2021-05-04T12:34:28.636968+02:00,,,101700,C Doctor Ferran,24,,21,Pedralbes,04,Les Corts,08034,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,426790.3544803916,4582480.698217021,41.39052740831456,2.124324114512776
﻿99400357068,Àrea de Joc Infantil a Alfons el Magnànim - Cristobal de Moura - Jaume Fabré,,,2014-10-30T11:11:45+01:00,2021-05-04T12:38:32.962069+02:00,,,008705,C Alfons el Magnànim,12,,70,el Besòs i el Maresme,10,Sant Martí,08019,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,434593.01513855363,4585081.387451651,41.414623571403354,2.2173635120158113
﻿99400357071,Àrea de Joc Infantil a Alfons el Magnànim - Jaume Fabré - Llull,,,2014-10-30T11:18:00+01:00,2021-05-04T12:38:34.527685+02:00,,,008705,C Alfons el Magnànim,8,,70,el Besòs i el Maresme,10,Sant Martí,08019,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,434593.01513855363,4585081.387451651,41.414623571403354,2.2173635120158113
﻿99400357078,Àrea de Joc Infantil a l'Avinguda Meridiana - Passeig Santa Coloma,,,2014-10-30T11:51:08+01:00,2021-05-04T12:38:36.224054+02:00,,,209900,Av Meridiana,618,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432130.3473730822,4588465.681989819,41.44490054787364,2.1875189400998707
﻿99400357083,Àrea de Joc Infantil a la Plaça Can Portabella,,,2014-10-30T12:00:24+01:00,2021-05-04T12:38:39.427934+02:00,,,701507,Pl Can Portabella,1,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432667.78550553625,4586732.803978152,41.42933836122975,2.1941451917780963
﻿99400357095,Àrea de Joc Infantil a Palomar - Fernando Pessoa - Valentí Iglésias - Cinca,,,2014-10-30T12:23:01+01:00,2021-05-04T12:38:43.146667+02:00,,,242509,C Palomar,68,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432546.45539738634,4588160.020049978,41.44218262977261,2.1925339062394187
﻿92086012475,Àrea de Joc Infantil a la Plaça de la Creu Roja,,,1985-04-23T00:00:00+02:00,2021-05-04T12:35:08.031291+02:00,,,701258,Pl Creu Roja,,,71,Provençals del Poblenou,10,Sant Martí,08018,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432616.4064939524,4584286.254816507,41.4072987458489,2.1938028860246663
﻿92086012480,Àrea de Joc Infantil a la Rambla Prim - Cristobal de Moura - Pere IV,,,1985-04-23T00:00:00+02:00,2021-05-04T12:35:05.481933+02:00,,,266405,Rbla Prim,97,,70,el Besòs i el Maresme,10,Sant Martí,08019,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,434062.6102318126,4585376.936467458,41.41724215774458,2.2109852375850503
﻿92086012507,Àrea de Joc Infantil a la Plaça de les Heroïnes de Girona,,,1985-04-24T00:00:00+02:00,2021-05-04T12:35:09.729587+02:00,,,700018,Pl Heroïnes de Girona,,,64,el Camp de l'Arpa del Clot,10,Sant Martí,08026,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431444.99880128435,4584638.371147647,41.41037109380965,2.1797492964707654
﻿99400356592,Àrea de Joc Infantil a la Plaça de la Cultura,,,2014-10-25T12:49:29+02:00,2021-05-04T12:38:05.656403+02:00,,,700151,Pl Cultura,1,,73,la Verneda i la Pau,10,Sant Martí,08020,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,433729.60037939344,4585814.952132779,41.42115984619622,2.206952773862528
﻿99400356601,Àrea de Joc Infantil a l'Avinguda Meridiana - Consell de Cent - Aragó,,,2014-10-25T13:10:09+02:00,2021-05-04T12:38:11.754696+02:00,,,209900,Av Meridiana,117,,65,el Clot,10,Sant Martí,08026,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432014.01632565656,4584384.865734375,41.40813618173683,2.186585328983363
